31.8257	117.2264
40.1824	116.4142
30.0572	107.874
26.0789	117.9874
36.0611	103.8343
23.3417	113.4244
23.8298	108.7881
26.8154	106.8748
19.1959	109.7453
38.0428	114.5149
47.862	127.7615
33.88202	113.614
30.9756	112.2707
27.6104	111.7088
44.0935	113.9448
32.9711	119.455
27.614	115.7221
43.6661	126.1923
41.2956	122.6085
37.2692	106.1655
35.7452	95.9956
35.1917	108.8701
36.3427	118.1498
31.202	121.4491
37.5777	112.2922
30.6171	102.7103
39.3054	117.323
31.6927	88.0924
41.1129	85.2401
24.974	101.487
29.1832	120.0934
